Order ID,Order Date,Order Priority,Order Quantity,Sales,Ship Mode,Profit,Shipping Cost,Customer Name,Customer State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name
481,02/10/2015,High,44,4509.3775,Regular Air,1426.257,5.26,Art Foster,Illinois,Central,Home Office,Technology,Telephones and Communication,636
483,12/04/2016,High,30,4965.7595,Regular Air,1198.971,3.99,Clay Rozendal,Delaware,East,Corporate,Technology,Telephones and Communication,R380
487,19/03/2016,Critical,19,210.4,Regular Air,-18.96,4.5,Valerie Dominguez,Ohio,Central,Corporate,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip
512,20/08/2016,Low,6,1309.53,Regular Air,19.18,18.06,Sam Craven,Georgia,South,Home Office,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton"
512,06/09/2015,Low,48,806.37,Express Air,-166.4,10.68,Sam Craven,Georgia,South,Home Office,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue"
513,06/01/2017,High,33,5437.92,Delivery Truck,-684.57,60.2,Arthur Prichep,California,West,Home Office,Furniture,Chairs & Chairmats,"Global Leather & Oak Executive Chair, Burgundy"
515,17/11/2016,Not Specified,19,394.27,Regular Air,30.94,5.94,Carlos Soltero,Michigan,Central,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier
515,25/03/2016,Not Specified,21,146.69,Regular Air,4.43,4.95,Carlos Soltero,Michigan,Central,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs
548,29/11/2016,Critical,29,202.95,Regular Air,-50.64,5.9,Sung Chung,South Carolina,South,Home Office,Office Supplies,Paper,Xerox 1976
548,30/05/2016,Critical,41,129.49,Regular Air,36.02,0.99,Sung Chung,South Carolina,South,Home Office,Office Supplies,Labels,Avery 481
548,06/03/2016,Critical,26,2753.1925,Regular Air,510.489,4.2,Sung Chung,South Carolina,South,Home Office,Technology,Telephones and Communication,V3682
549,25/11/2015,Critical,30,1150.88,Express Air,-911.56,35,Ken Brennan,Washington,West,Consumer,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum"
549,13/06/2016,Critical,5,40.75,Regular Air,-27.57,8.74,Ken Brennan,Washington,West,Consumer,Office Supplies,Paper,Xerox 1984
549,24/05/2016,Critical,13,70.24,Regular Air,-59.75,7.44,Ken Brennan,Washington,West,Consumer,Office Supplies,Paper,Xerox 1922
610,22/08/2016,Critical,38,283.65,Express Air,-29.21,5.41,Joe Elijah,Texas,Central,Home Office,Office Supplies,Paper,Xerox 195
611,08/06/2016,Critical,47,840.04,Regular Air,-131.27,9.47,Arthur Prichep,California,West,Home Office,Office Supplies,Storage & Organization,Portfile® Personal File Boxes
612,14/01/2016,Medium,50,262.87,Regular Air,-166.29,6.26,Sheri Gordon,Nebraska,Central,Corporate,Office Supplies,Paper,Xerox 1928
612,16/10/2015,Medium,43,2531.0875,Regular Air,881.676,2.5,Sheri Gordon,Nebraska,Central,Corporate,Technology,Telephones and Communication,6190
613,17/03/2017,High,12,93.54,Regular Air,-54.0385,7.72,Carl Jackson,Michigan,Central,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders"
613,20/06/2015,High,22,905.08,Regular Air,127.7,6.22,Carl Jackson,Michigan,Central,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame"
614,04/08/2015,High,24,3366.1,Delivery Truck,-633.68,52.42,Dave Hallsten,Texas,Central,Corporate,Furniture,Tables,Balt Split Level Computer Training Table
614,30/11/2016,High,41,628.22,Regular Air,163.81,5,Dave Hallsten,Texas,Central,Corporate,Furniture,Office Furnishings,Nu-Dell Leatherette Frames
640,24/01/2017,High,39,4913.69,Delivery Truck,-1153.9,58.64,Tamara Chand,Delaware,East,Consumer,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases
640,23/02/2017,High,24,464.77,Regular Air,29.42,9.54,Tamara Chand,Delaware,East,Consumer,Office Supplies,Paper,Xerox 1939
643,19/07/2015,High,21,2781.82,Express Air,-695.26,35,Monica Federle,New Jersey,East,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black"
644,01/12/2015,Critical,5,1679.58,Delivery Truck,-171.92,58.95,Bill Eplett,North Carolina,South,Corporate,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs
645,08/03/2016,High,42,557.85,Regular Air,89.4455,4.98,Harold Engle,Michigan,Central,Consumer,Office Supplies,Binders and Binder Accessories,GBC Binding covers
646,30/11/2016,High,18,173.2,Regular Air,-10.9,3.98,Duane Huffman,Delaware,East,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Forged Steel Scissors with Black Enamel Handles
678,18/08/2015,Low,44,228.41,Regular Air,-226.36,8.33,Dorothy Badders,Delaware,East,Home Office,Office Supplies,Paper,Xerox 198
706,15/07/2015,Critical,42,75.14,Regular Air,0.82,0.7,Sarah Jordon,Mass,East,Consumer,Office Supplies,Pens & Art Supplies,Newell 326
710,09/08/2016,Low,11,447.09,Regular Air,89.03,8.66,Susan MacKendrick,Ohio,Central,Corporate,Furniture,Office Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting"
710,22/01/2017,Low,29,4192.88,Delivery Truck,731.32,17.85,Susan MacKendrick,Ohio,Central,Corporate,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer
710,30/04/2016,Low,42,161.77,Regular Air,-150.374,5.47,Susan MacKendrick,Ohio,Central,Corporate,Office Supplies,Binders and Binder Accessories,Avery Poly Binder Pockets
738,29/12/2016,Not Specified,31,189.95,Regular Air,-56.68,5.14,Caroline Jumper,Ohio,Central,Corporate,Office Supplies,Paper,Xerox 23
738,14/06/2015,Not Specified,7,560.51,Regular Air,32.6,4.5,Caroline Jumper,Ohio,Central,Corporate,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection
740,10/05/2016,Medium,6,28.01,Regular Air,3.46,0.49,Thomas Boland,Colorado,West,Corporate,Office Supplies,Labels,Avery White Multi-Purpose Labels
769,18/04/2016,Medium,37,4261.94,Delivery Truck,4.15,56.14,Roy French,Delaware,East,Consumer,Technology,Office Machines,Hewlett-Packard Deskjet 5550 Color Inkjet Printer
771,06/12/2016,Critical,18,88.84,Regular Air,-38.35,4.72,Darrin Van Huff,Alabama,South,Home Office,Office Supplies,Paper,Xerox 1949
772,21/11/2016,High,35,589.24,Regular Air,-38.35,8.17,Pamela Stobb,Nebraska,Central,Consumer,Office Supplies,Appliances,Bionaire 99.97% HEPA Air Cleaner
772,13/06/2016,High,25,233.05,Regular Air,86.93,1.39,Pamela Stobb,Nebraska,Central,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes
773,31/01/2017,Medium,38,2071.3395,Regular Air,324.927,8.99,Helen Abelman,Michigan,Central,Home Office,Technology,Telephones and Communication,Talkabout T8367
774,10/11/2016,Critical,17,126.57,Regular Air,-752.13,49,Sibella Parks,Connecticut,East,Small Business,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum
775,22/02/2017,Critical,35,43.57,Regular Air,-19.17,0.7,Peter McVee,California,West,Small Business,Office Supplies,Rubber Bands,Bagged Rubber Bands
775,10/10/2015,Critical,8,31.87,Regular Air,-1.25,1.2,Peter McVee,California,West,Small Business,Office Supplies,Pens & Art Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush"
801,03/09/2015,Critical,20,59.85,Regular Air,-47.41,3.5,Thais Sissman,Wisconsin,Central,Corporate,Office Supplies,Pens & Art Supplies,Rogers Handheld Barrel Pencil Sharpener
802,05/12/2016,Critical,2,38.5,Regular Air,-59.93,9.4,Kean Nguyen,Maryland,South,Corporate,Technology,Office Machines,"AT&T Black Trimline Phone, Model 210"
802,06/07/2015,Critical,33,378.6,Regular Air,12.7245,5.63,Kean Nguyen,Maryland,South,Corporate,Office Supplies,Binders and Binder Accessories,Fellowes Binding Cases
805,29/07/2015,Not Specified,39,197.56,Regular Air,-119.86,5.71,Toby Swindell,Florida,South,Small Business,Furniture,Office Furnishings,"DAX Value U-Channel Document Frames, Easel Back"
807,01/05/2017,Medium,45,196.85,Regular Air,-166.85,6.18,Neola Schneider,New Jersey,East,Home Office,Office Supplies,Paper,Xerox 1980
807,15/07/2016,Medium,32,124.56,Regular Air,-14.33,2,Neola Schneider,New Jersey,East,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks
832,23/03/2017,Low,7,53.46,Regular Air,-17.58,5.9,Alice McCarthy,Idaho,West,Corporate,Office Supplies,Paper,Xerox 1976
833,04/01/2016,Medium,1,19.32,Regular Air,-20.3205,7.17,Olvera Toch,Colorado,West,Home Office,Office Supplies,Binders and Binder Accessories,GBC ProClick Spines for 32-Hole Punch
834,21/03/2016,Medium,15,1813.04,Delivery Truck,-188.96,56.14,Eugene Moren,Washington,West,Home Office,Technology,Office Machines,Hewlett-Packard Deskjet 5550 Color Inkjet Printer
835,03/10/2016,Not Specified,18,125.16,Regular Air,-23.48,5.14,Duane Huffman,Delaware,East,Small Business,Office Supplies,Paper,Xerox 23
837,07/09/2015,Not Specified,11,65.7,Regular Air,13.41,0.83,Sean O'Donnell,Maryland,South,Corporate,Office Supplies,Pens & Art Supplies,Avery Hi-Liter® Smear-Safe Highlighters
868,28/02/2017,Not Specified,32,716.84,Regular Air,134.72,5.94,Carlos Daly,Delaware,East,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier
868,29/03/2017,Not Specified,31,1474.33,Regular Air,114.46,3.61,Carlos Daly,Delaware,East,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples"
870,17/12/2016,Not Specified,23,1661.04,Regular Air,475.54,3.5,Valerie Dominguez,Ohio,Central,Corporate,Office Supplies,Appliances,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge
871,05/08/2016,Low,17,104.94,Regular Air,-34.97,5.22,David Kendrick,Georgia,South,Home Office,Furniture,Office Furnishings,Eldon Expressions Mahogany Wood Desk Collection
896,16/07/2016,Critical,50,1246.52,Regular Air,52.479,12.98,Edward Nazzal,Virginia,South,Home Office,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers
898,08/02/2016,High,26,7668.55,Delivery Truck,-183.45,54.12,Sanjit Jacobs,Idaho,West,Consumer,Furniture,Tables,Hon 94000 Series Round Tables
898,13/11/2016,High,40,676.13,Regular Air,45.39,6.5,Sanjit Jacobs,Idaho,West,Consumer,Technology,Computer Peripherals,Logitech Access Keyboard
900,26/03/2017,Not Specified,29,1193.65,Regular Air,507.5775,2.99,Karen Carlisle,Florida,South,Home Office,Office Supplies,Binders and Binder Accessories,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
902,20/08/2016,Not Specified,10,1925.83,Regular Air,359.83,0.99,Meg O'Connel,New Jersey,East,Corporate,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection
928,01/07/2016,Low,26,390.2,Express Air,45,7.4,Anthony O'Donnell,Alabama,South,Consumer,Furniture,Office Furnishings,DAX Clear Channel Poster Frame
928,30/08/2015,Low,21,1222.68,Express Air,300.97,3.99,Anthony O'Donnell,Alabama,South,Consumer,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector
929,07/07/2016,High,39,84.33,Regular Air,-64.29,2.56,Luke Foster,California,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation
929,06/11/2015,High,21,227.66,Regular Air,-100.16,6.5,Luke Foster,California,West,Corporate,Technology,Computer Peripherals,Micro Innovations 104 Keyboard
930,31/07/2015,Critical,11,79.19,Regular Air,13.91,2,Phillina Ober,New York,East,Small Business,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”"
930,08/03/2017,Critical,22,922.39,Express Air,-41.64,58.66,Phillina Ober,New York,East,Small Business,Furniture,Office Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting"
933,21/03/2016,Not Specified,15,80.61,Regular Air,-4.715,2.99,Claudia Miner,Delaware,East,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders"
960,17/10/2016,Medium,46,605.97,Regular Air,-22.72,6.85,Jim Kriz,California,West,Consumer,Furniture,Office Furnishings,DAX Wood Document Frame.
962,07/12/2015,Low,33,4064.05,Regular Air,1408.1865,19.99,Mike Vittorini,Arizona,West,Small Business,Office Supplies,Binders and Binder Accessories,GBC Therma-A-Bind 250T Electric Binding System
962,14/09/2015,Low,47,3213.87,Delivery Truck,-1069.72,60,Mike Vittorini,Arizona,West,Small Business,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
964,02/09/2016,Medium,50,315.02,Regular Air,95.1575,1.49,Stefania Perrino,South Carolina,South,Corporate,Office Supplies,Binders and Binder Accessories,Avery Hanging File Binders
964,02/07/2015,Medium,4,40.02,Regular Air,-1.28,1.09,Stefania Perrino,South Carolina,South,Corporate,Office Supplies,Pens & Art Supplies,Peel-Off® China Markers
965,16/01/2016,Low,42,11230.25,Delivery Truck,-2505.3,35.67,Jas O'Carroll,Connecticut,East,Corporate,Furniture,Tables,Global Adaptabilities™ Conference Tables
967,18/08/2015,Medium,42,1634.9,Regular Air,502.42,2.9,Maureen Gastineau,California,West,Consumer,Office Supplies,Pens & Art Supplies,Panasonic KP-150 Electric Pencil Sharpener
967,18/12/2016,Medium,6,90.56,Regular Air,-43.2,7.51,Maureen Gastineau,California,West,Consumer,Technology,Office Machines,Sharp EL500L Fraction Calculator
967,01/02/2017,Medium,48,11278.18,Delivery Truck,1836.81,32.48,Maureen Gastineau,California,West,Consumer,Furniture,Tables,Hon Rectangular Conference Tables
994,07/05/2017,Low,38,132.07,Regular Air,14,1.63,Kelly Lampkin,Utah,West,Corporate,Office Supplies,Rubber Bands,"OIC Colored Binder Clips, Assorted Sizes"
